Tiempo_s;Distancia_cm;Angulo_deg;Vref_V;Angulo
14.934.196;10,62;-58,78;3,3;31,22
149.393.322;2,96;-35,26;3,3;54,74
14.940.092;2,96;-58,87;3,3;31,13
149.407.072;10,37;-60,49;3,3;29,51
149.413.054;10,2;-59,66;3,3;30,34
149.419.097;10,76;-59,53;3,3;30,47
149.479.008;10,09;-59,31;3,3;30,69
149.483.587;10,31;-57,99;3,3;32,01
149.640.675;10,07;-58,78;3,3;31,22
149.645.814;10,23;-57,68;3,3;32,32
149.649.254;10,36;-59,61;3,3;30,39
14.972.179;10,08;-58,03;3,3;31,97
149.726.352;9,81;-58,65;3,3;31,35
149.888.854;9,87;-57,86;3,3;32,14
